"geolocation_zip_code_prefix","geolocation_lat","geolocation_lng","geolocation_city","geolocation_state"
"01037",-23.54562128115268,-46.63929204800168,sao paulo,SP
"01046",-23.546081127035535,-46.64482029837157,sao paulo,SP
"01046",-23.54612896641469,-46.64295148361138,sao paulo,SP
"01041",-23.5443921648681,-46.63949930627844,sao paulo,SP
"01035",-23.541577961711493,-46.64160722329613,sao paulo,SP
"01012",-23.547762303364266,-46.63536053788448,são paulo,SP
"01047",-23.546273112412678,-46.64122516971552,sao paulo,SP
"01013",-23.546923208436723,-46.6342636964915,sao paulo,SP
"01029",-23.543769055769133,-46.63427784085132,sao paulo,SP
"01011",-23.547639550320632,-46.63603162315495,sao paulo,SP
"01011",-23.547639550320632,-46.63603162315495,sao paulo,SP
