Sales,Date,sales_diff,prev_sales
10.9,2016-12-01,-51150.42000000018,51161.32000000018
123277.54999999946,2017-01-01,123266.64999999947,10.9
261801.61999999514,2017-02-01,138524.06999999567,123277.54999999946
392147.9100000018,2017-03-01,130346.29000000664,261801.61999999514
388874.78000000276,2017-04-01,-3273.129999999015,392147.9100000018
546355.2900000121,2017-05-01,157480.51000000938,388874.78000000276
455554.17000000586,2017-06-01,-90801.12000000628,546355.2900000121
524705.0700000117,2017-07-01,69150.90000000584,455554.17000000586
599876.060000015,2017-08-01,75170.99000000325,524705.0700000117
648150.8500000141,2017-09-01,48274.789999999106,599876.060000015
697526.9500000192,2017-10-01,49376.1000000051,648150.8500000141
1028695.7400000388,2017-11-01,331168.7900000196,697526.9500000192
790949.540000023,2017-12-01,-237746.2000000158,1028695.7400000388
977101.4500000397,2018-01-01,186151.91000001668,790949.540000023
872066.7000000315,2018-02-01,-105034.75000000815,977101.4500000397
1033857.9600000338,2018-03-01,161791.26000000234,872066.7000000315
1005660.4500000331,2018-04-01,-28197.510000000708,1033857.9600000338
1051884.5400000296,2018-05-01,46224.089999996475,1005660.4500000331
910848.7400000225,2018-06-01,-141035.80000000715,1051884.5400000296
904970.7000000236,2018-07-01,-5878.039999998873,910848.7400000225
906244.2700000278,2018-08-01,1273.5700000042561,904970.7000000236
145.0,2018-09-01,-906099.2700000278,906244.2700000278
